start_year,buy_day,years,dca_cagr,dca_final,dca_maxdd,drop_pct,hyb_cagr,hyb_final,hyb_maxdd,hyb_events,diff_cagr,winner
2010,1,15.756331279945243,0.07139373001500982,563172.6423372396,0.336114002145507,0.25,0.0665559633714281,524412.7401054538,0.2422787063727089,2,-0.004837766643581709,DCA
2010,1,15.756331279945243,0.07139373001500982,563172.6423372396,0.336114002145507,0.3,0.06691717877009662,527218.1510581335,0.22129596947916308,1,-0.004476551244913196,DCA
2010,5,15.756331279945243,0.07131638049535605,562532.3565619659,0.33604326965115805,0.05,0.07005392184868531,552177.8354017386,0.3346906658224631,21,-0.0012624586466707388,DCA
2010,5,15.756331279945243,0.07131638049535605,562532.3565619659,0.33604326965115805,0.1,0.06915585407750213,544920.9499867016,0.3322607862509503,8,-0.002160526417853914,DCA
2010,5,15.756331279945243,0.07131638049535605,562532.3565619659,0.33604326965115805,0.15,0.06923513814740456,545557.9965231086,0.3307489678988682,6,-0.002081242347951484,DCA
2010,5,15.756331279945243,0.07131638049535605,562532.3565619659,0.33604326965115805,0.2,0.06617455329766542,521465.6641417661,0.24221681387832764,2,-0.005141827197690629,DCA
2010,5,15.756331279945243,0.07131638049535605,562532.3565619659,0.33604326965115805,0.25,0.06650488864528015,524017.1938327485,0.24221681387832764,2,-0.0048114918500759,DCA
2010,5,15.756331279945243,0.07131638049535605,562532.3565619659,0.33604326965115805,0.3,0.06686627858645333,526821.9813775788,0.2188878930896754,1,-0.004450101908902715,DCA
2010,10,15.756331279945243,0.07118651582852586,561458.8925484705,0.33588097439828096,0.05,0.06987133443097115,550695.1378209736,0.3344773757404029,21,-0.00131518139755471,DCA
2010,10,15.756331279945243,0.07118651582852586,561458.8925484705,0.33588097439828096,0.1,0.06907609652309477,544280.801978007,0.3321752133357666,8,-0.0021104193054310993,DCA
2010,10,15.756331279945243,0.07118651582852586,561458.8925484705,0.33588097439828096,0.15,0.06893622879846495,543159.8994735838,0.33021302077083037,6,-0.0022502870300609157,DCA
2010,10,15.756331279945243,0.07118651582852586,561458.8925484705,0.33588097439828096,0.2,0.06609206796816758,520830.36051257275,0.2420600346450081,2,-0.0050944478603582866,DCA
2010,10,15.756331279945243,0.07118651582852586,561458.8925484705,0.33588097439828096,0.25,0.06642264248680552,523380.8287792306,0.2420600346450081,2,-0.004763873341720348,DCA
2010,10,15.756331279945243,0.07118651582852586,561458.8925484705,0.33588097439828096,0.3,0.06678428609918319,526184.3982453439,0.21881952670586097,1,-0.004402229729342677,DCA
2010,15,15.756331279945243,0.07103596169292903,560216.8102945286,0.3351681294816526,0.05,0.06977444331402749,549909.8504952233,0.33411325955491616,21,-0.0012615183789015383,DCA
2010,15,15.756331279945243,0.07103596169292903,560216.8102945286,0.3351681294816526,0.1,0.06897249784146298,543450.3524475395,0.3318036941321772,8,-0.002063463851466052,DCA
2010,15,15.756331279945243,0.07103596169292903,560216.8102945286,0.3351681294816526,0.15,0.06884494719703604,542429.5333060174,0.32983336499332594,6,-0.0021910144958929845,DCA
2010,15,15.756331279945243,0.07103596169292903,560216.8102945286,0.3351681294816526,0.2,0.06590197896860905,519369.0502996033,0.24120058316281,2,-0.005133982724319974,DCA
2010,15,15.756331279945243,0.07103596169292903,560216.8102945286,0.3351681294816526,0.25,0.06628470486907645,522315.18547043175,0.24120058316281,2,-0.004751256823852579,DCA
2010,15,15.756331279945243,0.07103596169292903,560216.8102945286,0.3351681294816526,0.3,0.06669112928203069,525460.8769650812,0.22038940087712028,1,-0.004344832410898336,DCA
2010,20,15.756331279945243,0.07100486562576003,559960.5864033403,0.3324708358517002,0.05,0.06973231404923697,549568.7266496584,0.33152643513340313,21,-0.0012725515765230622,DCA
